"","Station_code","CWV","ELV","AOD","PM2.5","Temp","RH","NDVI","WD","WS","BLH","Press","season","day","month","lon","lat","model_pred","model_pred_10","predicted"
"4952","48",1.2835,226.4375,2.565,373.8333333,293.0552063,59.45346069,0.190431346,314.66922,2.444735527,258.2656555,988.9588281,"SON","316",11,77.249485,28.710508,269.408939639783,269.408939639784,266.552572472659
"4953","48",2.608,226.4375,1.6075,352.875,295.1320801,68.21894836,0.16432932,330.5458374,2.181416035,294.4484253,990.5653906,"SON","319",11,77.249485,28.710508,207.684129369022,207.684129369022,206.154018887166
"4954","48",2.4405,226.4375,0.5455,156.4166667,295.7375488,59.29181671,0.157547928,316.600708,3.750575066,506.1492615,990.0380469,"SON","320",11,77.249485,28.710508,107.36079818323,107.360798183231,107.509472841102
"4955","48",1.231,226.4375,0.28594434,94.63636364,295.2829285,58.98675537,0.1532,303.7399292,4.641667843,550.953186,990.2692188,"SON","321",11,77.249485,28.710508,90.2782459574275,90.2782459574288,91.0136272109265
"4956","48",1.4295,226.4375,0.6085,116.0833333,293.6364136,59.36389923,0.151905108,289.0751953,3.478388071,474.8308411,989.5389063,"SON","322",11,77.249485,28.710508,98.6660654444575,98.6660654444584,99.1982409087516
"4957","48",1.5175,226.4375,2.115,143.0729167,293.0120544,63.18358994,0.153223949,291.2399902,2.467694759,394.9100952,989.0663281,"SON","323",11,77.249485,28.710508,211.550523243701,211.550523243703,212.568874306297
"4958","48",1.3785,226.4375,1.761330175,210.9791667,292.5875244,66.06513977,0.156452496,212.3493652,1.416463017,341.2949219,989.715,"SON","324",11,77.249485,28.710508,189.167398178106,189.167398178107,186.144764194931
"4959","48",1.8025,226.4375,0.685,52.975,291.4144897,82.82136536,0.166672768,337.20047,1.663562059,271.3140259,991.891875,"SON","333",11,77.249485,28.710508,84.4158709692127,84.415870969212,84.5883191758936
"4960","48",1.239,226.4375,0.6515,122.1666667,289.3501282,72.23062134,0.155099234,291.0788574,2.496906757,333.8371277,991.6383594,"DJF","335",12,77.249485,28.710508,154.362831026591,154.362831026592,154.751270980358
"4961","48",0.9555,226.4375,0.572,137.2083333,288.9047241,68.09754944,0.148933412,297.1278992,2.727327108,331.0602417,992.3072656,"DJF","336",12,77.249485,28.710508,162.923448045365,162.923448045366,163.617721751703
"4962","48",0.7975,226.4375,0.3505,114.3181818,288.7526245,63.70569611,0.143,289.4556885,2.816153526,242.867157,991.8403125,"DJF","337",12,77.249485,28.710508,179.941967958005,179.941967958006,180.675556122889
"4963","48",0.871,226.4375,0.918270712,219.7826087,288.5896606,72.04042053,0.132983254,337.7929688,1.272730827,208.2532501,995.8123438,"DJF","339",12,77.249485,28.710508,300.930812285987,300.930812285987,301.966680408943
"4964","48",1.211,226.4375,0.7825,179.96875,289.5637207,78.24427795,0.1264472,354.2322998,1.381448388,241.9598541,994.0951563,"DJF","341",12,77.249485,28.710508,192.539401828166,192.539401828166,192.420827008037
"4965","48",1.1325,226.4375,0.695,200.1354167,289.1535339,75.94255066,0.124826841,323.8032837,1.586058855,263.0581665,993.7960938,"DJF","342",12,77.249485,28.710508,203.583605336236,203.583605336236,203.488445068612
"4966","48",1.415,226.4375,1.0805,232.53125,288.0376892,71.54566956,0.125566277,324.0161133,1.607828379,221.9030304,990.6130469,"DJF","344",12,77.249485,28.710508,283.015915653758,283.015915653759,283.56173377324
"4967","48",1.5025,226.4375,1.046603566,90.33333333,286.795166,76.54655457,0.150413433,315.8441772,2.133901834,386.9217224,994.304375,"DJF","349",12,77.249485,28.710508,152.668923204026,152.668923204026,154.611816496956
"4968","48",0.562,226.4375,0.904606017,158,285.4349976,78.38658142,0.166251869,290.4312744,2.476209641,271.864624,994.2391406,"DJF","352",12,77.249485,28.710508,135.892155767527,135.892155767528,135.695017109413
"4969","48",0.7315,226.4375,1.14276166,230.78125,282.6903687,88.69888306,0.139330302,344.6358643,1.29304719,153.2978973,993.9984375,"DJF","358",12,77.249485,28.710508,280.410173065228,280.410173065228,282.772961530174
"4970","48",0.554,226.4375,1.530505847,226.9047619,281.5380249,86.8994751,0.0705,305.706543,2.180437565,177.0338593,993.3584375,"DJF","361",12,77.249485,28.710508,269.788535508729,269.788535508729,270.174184971475
"4971","49",1.0075,260.2890625,0.435,197.6875,286.4515686,71.86914063,0.1567,330.8999023,1.816964626,201.6224823,991.19625,"DJF","1",1,77.190156,28.531346,226.797220674023,226.797220674023,229.24370649185
"4972","49",1.2855,260.2890625,1.029,254.3333333,287.5267639,71.81772614,0.165210567,92.61991882,1.665683389,248.6589355,991.5376563,"DJF","2",1,77.190156,28.531346,272.923998095827,272.923998095828,274.623713288454
"4973","49",0.9675,260.2890625,0.6285,286.9583333,287.0845337,69.84884644,0.172780031,307.052002,2.60293293,312.2847595,992.375625,"DJF","3",1,77.190156,28.531346,191.06845271927,191.06845271927,192.87055429857
"4974","49",1.335,260.2890625,0.7665,254.0416667,287.1600647,67.77256012,0.185257536,111.8078156,3.136648655,314.75,989.6074219,"DJF","5",1,77.190156,28.531346,193.122648749301,193.122648749301,194.487131717763
